0,"(87, 70)",22
1,"(88, 81)",77
2,"(90, 93)",45
3,"(93, 104)",62
4,"(97, 114)",51
5,"(104, 123)",18
6,"(112, 131)",15
7,"(120, 138)",3
8,"(131, 139)",3
9,"(142, 136)",13
10,"(150, 129)",28
11,"(156, 120)",37
12,"(162, 111)",159
13,"(165, 100)",135
14,"(166, 89)",86
15,"(167, 78)",147
16,"(167, 67)",114
17,"(94, 65)",61
18,"(99, 59)",49
19,"(106, 57)",126
20,"(114, 59)",126
21,"(121, 62)",102
22,"(133, 61)",118
23,"(140, 58)",161
24,"(147, 57)",161
25,"(155, 57)",127
26,"(160, 62)",106
27,"(127, 70)",194
28,"(128, 78)",211
29,"(128, 86)",218
30,"(128, 95)",191
31,"(120, 98)",27
32,"(124, 99)",17
33,"(129, 101)",67
34,"(133, 99)",82
35,"(137, 97)",57
36,"(103, 72)",40
37,"(107, 69)",17
38,"(113, 69)",27
39,"(117, 72)",113
40,"(112, 74)",161
41,"(107, 74)",129
42,"(138, 72)",119
43,"(142, 69)",17
44,"(147, 68)",24
45,"(152, 70)",17
46,"(148, 73)",120
47,"(143, 73)",140
48,"(111, 110)",26
49,"(118, 110)",51
50,"(124, 109)",78
51,"(129, 109)",147
52,"(133, 108)",134
53,"(140, 109)",79
54,"(147, 109)",41
55,"(141, 115)",110
56,"(134, 118)",82
57,"(130, 119)",71
58,"(125, 119)",82
59,"(118, 116)",72
60,"(113, 111)",25
61,"(124, 112)",42
62,"(129, 112)",39
63,"(134, 111)",60
64,"(145, 110)",55
65,"(134, 112)",79
66,"(129, 113)",135
67,"(125, 112)",41
0,"(87, 70)",37
1,"(88, 81)",100
2,"(90, 93)",63
3,"(93, 104)",74
4,"(97, 114)",60
5,"(104, 123)",26
6,"(112, 131)",23
7,"(120, 138)",8
8,"(131, 139)",9
9,"(142, 136)",25
10,"(150, 129)",45
11,"(156, 120)",49
12,"(162, 111)",162
13,"(165, 100)",146
14,"(166, 89)",119
15,"(167, 78)",183
16,"(167, 67)",147
17,"(94, 65)",79
18,"(99, 59)",67
19,"(106, 57)",153
20,"(114, 59)",148
21,"(121, 62)",137
22,"(133, 61)",156
23,"(140, 58)",190
24,"(147, 57)",185
25,"(155, 57)",160
26,"(160, 62)",134
27,"(127, 70)",222
28,"(128, 78)",232
29,"(128, 86)",236
30,"(128, 95)",212
31,"(120, 98)",37
32,"(124, 99)",25
33,"(129, 101)",88
34,"(133, 99)",95
35,"(137, 97)",72
36,"(103, 72)",49
37,"(107, 69)",27
38,"(113, 69)",46
39,"(117, 72)",118
40,"(112, 74)",186
41,"(107, 74)",153
42,"(138, 72)",137
43,"(142, 69)",31
44,"(147, 68)",42
45,"(152, 70)",30
46,"(148, 73)",145
47,"(143, 73)",166
48,"(111, 110)",39
49,"(118, 110)",58
50,"(124, 109)",89
51,"(129, 109)",157
52,"(133, 108)",150
53,"(140, 109)",96
54,"(147, 109)",62
55,"(141, 115)",133
56,"(134, 118)",96
57,"(130, 119)",91
58,"(125, 119)",104
59,"(118, 116)",94
60,"(113, 111)",33
61,"(124, 112)",38
62,"(129, 112)",31
63,"(134, 111)",64
64,"(145, 110)",70
65,"(134, 112)",76
66,"(129, 113)",131
67,"(125, 112)",39
0,"(87, 70)",58
1,"(88, 81)",149
2,"(90, 93)",95
3,"(93, 104)",86
4,"(97, 114)",74
5,"(104, 123)",42
6,"(112, 131)",39
7,"(120, 138)",35
8,"(131, 139)",33
9,"(142, 136)",49
10,"(150, 129)",74
11,"(156, 120)",77
12,"(162, 111)",167
13,"(165, 100)",160
14,"(166, 89)",173
15,"(167, 78)",231
16,"(167, 67)",205
17,"(94, 65)",105
18,"(99, 59)",113
19,"(106, 57)",203
20,"(114, 59)",196
21,"(121, 62)",199
22,"(133, 61)",216
23,"(140, 58)",235
24,"(147, 57)",227
25,"(155, 57)",208
26,"(160, 62)",183
27,"(127, 70)",255
28,"(128, 78)",253
29,"(128, 86)",254
30,"(128, 95)",254
31,"(120, 98)",88
32,"(124, 99)",64
33,"(129, 101)",140
34,"(133, 99)",161
35,"(137, 97)",134
36,"(103, 72)",92
37,"(107, 69)",60
38,"(113, 69)",90
39,"(117, 72)",166
40,"(112, 74)",232
41,"(107, 74)",206
42,"(138, 72)",186
43,"(142, 69)",48
44,"(147, 68)",78
45,"(152, 70)",69
46,"(148, 73)",211
47,"(143, 73)",213
48,"(111, 110)",71
49,"(118, 110)",129
50,"(124, 109)",180
51,"(129, 109)",233
52,"(133, 108)",230
53,"(140, 109)",168
54,"(147, 109)",108
55,"(141, 115)",204
56,"(134, 118)",173
57,"(130, 119)",148
58,"(125, 119)",167
59,"(118, 116)",159
60,"(113, 111)",70
61,"(124, 112)",107
62,"(129, 112)",104
63,"(134, 111)",136
64,"(145, 110)",125
65,"(134, 112)",148
66,"(129, 113)",205
67,"(125, 112)",106
